,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,301037.SZ,20211228,24.0,24.75,24.0,24.65,24.25,0.4,1.6495,7002.1,17085.388
1,301037.SZ,20211227,24.12,24.53,23.75,24.25,24.32,-0.07,-0.2878,8319.8,20037.863
2,301037.SZ,20211224,26.1,26.1,24.23,24.32,26.03,-1.71,-6.5693,12250.29,30530.836
3,301037.SZ,20211223,25.97,26.2,25.64,26.03,25.97,0.06,0.231,6132.38,15908.596
4,301037.SZ,20211222,26.4,26.47,25.7,25.97,26.12,-0.15,-0.5743,7440.4,19298.984
5,301037.SZ,20211221,25.67,26.33,25.53,26.12,25.97,0.15,0.5776,9138.5,23870.103
6,301037.SZ,20211220,25.69,26.24,25.5,25.97,25.69,0.28,1.0899,8022.9,20765.919
7,301037.SZ,20211217,26.9,26.9,25.69,25.69,26.99,-1.3,-4.8166,15458.94,40355.821
8,301037.SZ,20211216,27.47,27.47,26.73,26.99,27.49,-0.5,-1.8188,13467.97,36379.784
9,301037.SZ,20211215,26.95,27.5,26.54,27.49,26.95,0.54,2.0037,17862.1,48328.262
10,301037.SZ,20211214,26.62,26.95,26.3,26.95,26.62,0.33,1.2397,12604.7,33643.67
11,301037.SZ,20211213,27.0,27.15,26.2,26.62,26.9,-0.28,-1.0409,16952.3,44996.111
12,301037.SZ,20211210,27.4,27.71,26.75,26.9,27.95,-1.05,-3.7567,22218.38,60046.74
13,301037.SZ,20211209,28.75,29.0,27.69,27.95,29.57,-1.62,-5.4785,30571.22,86188.978
14,301037.SZ,20211208,28.09,29.57,27.73,29.57,30.03,-0.46,-1.5318,35158.15,100967.623
15,301037.SZ,20211207,28.5,31.28,28.1,30.03,29.09,0.94,3.2314,57844.85,173691.731
16,301037.SZ,20211206,26.51,31.34,26.26,29.09,26.71,2.38,8.9105,54086.39,158133.376
17,301037.SZ,20211203,27.68,27.68,26.0,26.71,27.71,-1.0,-3.6088,22189.2,59181.162
18,301037.SZ,20211202,26.69,29.72,26.16,27.71,26.65,1.06,3.9775,45477.61,127180.271
19,301037.SZ,20211201,25.88,26.73,25.64,26.65,25.88,0.77,2.9753,12597.7,33300.153
20,301037.SZ,20211130,26.21,26.69,25.63,25.88,26.2,-0.32,-1.2214,10220.3,26664.391
21,301037.SZ,20211129,26.1,26.98,25.97,26.2,26.76,-0.56,-2.0927,11630.81,30583.735
22,301037.SZ,20211126,27.42,27.42,26.56,26.76,27.51,-0.75,-2.7263,19137.72,51453.947
23,301037.SZ,20211125,26.3,27.98,26.11,27.51,26.47,1.04,3.929,40504.53,109714.823
24,301037.SZ,20211124,26.09,26.53,25.55,26.47,25.9,0.57,2.2008,16497.53,43018.581
25,301037.SZ,20211123,25.78,26.28,25.7,25.9,25.96,-0.06,-0.2311,11267.73,29142.361
26,301037.SZ,20211122,25.8,26.5,25.64,25.96,25.91,0.05,0.193,16025.6,41673.822
27,301037.SZ,20211119,25.6,26.1,25.28,25.91,25.56,0.35,1.3693,12838.2,33096.558
28,301037.SZ,20211118,26.25,26.48,25.38,25.56,26.41,-0.85,-3.2185,16726.97,43072.158
29,301037.SZ,20211117,27.04,27.49,26.0,26.41,27.5,-1.09,-3.9636,30262.4,79872.819
30,301037.SZ,20211116,27.21,28.29,26.44,27.5,27.13,0.37,1.3638,47116.74,128218.809
31,301037.SZ,20211115,24.25,28.9,24.25,27.13,24.08,3.05,12.6661,69209.4,184319.9
32,301037.SZ,20211112,23.8,24.31,23.0,24.08,23.68,0.4,1.6892,22795.78,54258.92
33,301037.SZ,20211111,22.81,23.83,22.79,23.68,22.82,0.86,3.7686,21876.44,51432.772
34,301037.SZ,20211110,22.75,23.19,22.31,22.82,22.69,0.13,0.5729,10099.05,22964.034
35,301037.SZ,20211109,22.29,23.0,22.27,22.69,22.29,0.4,1.7945,10066.48,22807.91
36,301037.SZ,20211108,22.05,22.45,22.05,22.29,22.14,0.15,0.6775,6319.6,14044.513
37,301037.SZ,20211105,21.66,22.28,21.66,22.14,21.88,0.26,1.1883,9244.37,20371.569
38,301037.SZ,20211104,21.5,22.16,21.5,21.88,21.59,0.29,1.3432,8777.3,19164.743
39,301037.SZ,20211103,21.23,21.79,21.17,21.59,21.17,0.42,1.9839,8455.5,18159.86
40,301037.SZ,20211102,21.95,22.39,21.12,21.17,22.09,-0.92,-4.1648,10987.3,23739.582
41,301037.SZ,20211101,22.15,22.15,21.83,22.09,22.19,-0.1,-0.4507,7496.44,16495.828
42,301037.SZ,20211029,21.6,22.57,21.52,22.19,22.08,0.11,0.4982,13528.0,29765.194
43,301037.SZ,20211028,22.9,22.99,21.88,22.08,22.84,-0.76,-3.3275,13602.72,30227.014
44,301037.SZ,20211027,24.4,24.41,22.84,22.84,24.38,-1.54,-6.3167,15940.8,37119.893
45,301037.SZ,20211026,24.39,24.51,24.24,24.38,24.4,-0.02,-0.082,7134.6,17380.975
46,301037.SZ,20211025,24.67,24.83,24.25,24.4,24.83,-0.43,-1.7318,9785.2,23878.65
47,301037.SZ,20211022,24.8,25.25,24.66,24.83,24.75,0.08,0.3232,9582.28,23909.778
48,301037.SZ,20211021,24.51,24.79,24.26,24.75,24.61,0.14,0.5689,8794.01,21562.521
