,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,000862.SZ,20211228,9.86,10.68,9.18,9.19,10.2,-1.01,-9.902,2068150.26,2044855.73
1,000862.SZ,20211227,9.4,10.2,9.17,10.2,9.27,0.93,10.0324,1464911.38,1450149.782
2,000862.SZ,20211224,8.92,9.27,8.78,9.27,8.43,0.84,9.9644,1652371.19,1516366.263
3,000862.SZ,20211223,7.61,8.43,7.54,8.43,7.66,0.77,10.0522,400251.6,331748.105
4,000862.SZ,20211222,7.75,7.81,7.63,7.66,7.76,-0.1,-1.2887,218500.94,168434.179
5,000862.SZ,20211221,7.55,7.8,7.38,7.76,7.61,0.15,1.9711,312468.95,237210.611
6,000862.SZ,20211220,8.08,8.1,7.6,7.61,8.12,-0.51,-6.2808,476611.88,370735.19
7,000862.SZ,20211217,7.85,8.21,7.8,8.12,7.91,0.21,2.6549,608014.0,491893.911
8,000862.SZ,20211216,7.89,8.08,7.81,7.91,7.89,0.02,0.2535,373879.0,296046.364
9,000862.SZ,20211215,7.6,8.07,7.57,7.89,7.68,0.21,2.7344,500313.04,393612.828
10,000862.SZ,20211214,7.74,7.84,7.62,7.68,7.76,-0.08,-1.0309,219528.8,169162.487
11,000862.SZ,20211213,7.65,7.93,7.64,7.76,7.7,0.06,0.7792,337754.75,263876.592
12,000862.SZ,20211210,7.67,7.94,7.64,7.7,7.77,-0.07,-0.9009,276068.13,213939.837
13,000862.SZ,20211209,7.9,7.99,7.72,7.77,7.99,-0.22,-2.7534,401890.19,313954.335
14,000862.SZ,20211208,7.9,8.14,7.82,7.99,7.88,0.11,1.3959,570619.69,456706.027
15,000862.SZ,20211207,7.69,8.0,7.31,7.88,7.69,0.19,2.4707,622756.64,477776.829
16,000862.SZ,20211206,7.6,7.94,7.55,7.69,7.54,0.15,1.9894,617432.24,479897.746
17,000862.SZ,20211203,7.24,7.64,7.24,7.54,7.25,0.29,4.0,478377.32,357749.346
18,000862.SZ,20211202,7.39,7.42,7.23,7.25,7.45,-0.2,-2.6846,244169.0,178207.804
19,000862.SZ,20211201,7.23,7.48,7.21,7.45,7.28,0.17,2.3352,302280.23,222149.298
20,000862.SZ,20211130,7.38,7.52,7.23,7.28,7.36,-0.08,-1.087,256897.41,188974.178
21,000862.SZ,20211129,7.17,7.41,7.08,7.36,7.31,0.05,0.684,209515.61,152791.809
22,000862.SZ,20211126,7.31,7.39,7.22,7.31,7.44,-0.13,-1.7473,234858.42,171448.649
