,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,300055.SZ,20211228,12.88,13.3,12.7,13.24,12.88,0.36,2.795,125755.02,164490.002
1,300055.SZ,20211227,12.31,13.43,12.3,12.88,12.27,0.61,4.9715,176267.52,228637.503
2,300055.SZ,20211224,12.98,13.04,12.26,12.27,12.98,-0.71,-5.47,152134.23,190631.222
3,300055.SZ,20211223,13.1,13.17,12.96,12.98,13.14,-0.16,-1.2177,64017.11,83342.898
4,300055.SZ,20211222,13.15,13.24,12.9,13.14,13.14,0.0,0.0,75522.99,98727.162
5,300055.SZ,20211221,12.93,13.18,12.9,13.14,12.97,0.17,1.3107,73520.01,96204.341
6,300055.SZ,20211220,13.68,13.88,12.93,12.97,13.73,-0.76,-5.5353,164271.82,217806.712
7,300055.SZ,20211217,13.34,13.95,13.25,13.73,13.36,0.37,2.7695,204993.35,280859.556
8,300055.SZ,20211216,13.16,13.6,13.16,13.36,13.17,0.19,1.4427,115172.59,153884.191
9,300055.SZ,20211215,13.28,13.41,13.09,13.17,13.28,-0.11,-0.8283,96489.29,127783.96
10,300055.SZ,20211214,13.24,13.35,13.0,13.28,13.33,-0.05,-0.3751,114659.04,151160.548
11,300055.SZ,20211213,13.6,13.94,13.17,13.33,13.69,-0.36,-2.6297,179291.64,239631.911
12,300055.SZ,20211210,13.3,13.95,13.2,13.69,13.3,0.39,2.9323,156757.21,214110.665
13,300055.SZ,20211209,13.52,13.76,13.23,13.3,13.61,-0.31,-2.2777,132617.83,178364.392
14,300055.SZ,20211208,13.59,13.75,13.42,13.61,13.6,0.01,0.0735,113655.35,154190.869
15,300055.SZ,20211207,14.2,14.48,13.0,13.6,13.97,-0.37,-2.6485,232000.81,314377.224
16,300055.SZ,20211206,14.9,14.9,13.94,13.97,14.98,-1.01,-6.7423,207247.83,297588.656
17,300055.SZ,20211203,14.95,15.1,14.71,14.98,15.08,-0.1,-0.6631,124961.65,186409.131
18,300055.SZ,20211202,15.05,15.51,14.85,15.08,15.17,-0.09,-0.5933,189126.54,286337.815
19,300055.SZ,20211201,14.93,15.35,14.56,15.17,14.81,0.36,2.4308,198781.53,299325.12
20,300055.SZ,20211130,14.95,15.48,14.75,14.81,14.98,-0.17,-1.1348,254123.44,382417.47
21,300055.SZ,20211129,14.4,15.22,14.1,14.98,14.67,0.31,2.1132,277683.07,411311.77
22,300055.SZ,20211126,13.86,15.14,13.76,14.67,13.85,0.82,5.9206,346057.31,509060.409
23,300055.SZ,20211125,14.32,14.38,13.85,13.85,14.39,-0.54,-3.7526,148308.31,207901.941
24,300055.SZ,20211124,14.32,14.57,14.16,14.39,14.32,0.07,0.4888,128296.59,184198.591
25,300055.SZ,20211123,14.45,14.68,14.31,14.32,14.57,-0.25,-1.7159,163860.07,236546.527
26,300055.SZ,20211122,13.78,14.58,13.61,14.57,13.8,0.77,5.5797,278638.05,398214.308
27,300055.SZ,20211119,14.12,14.2,13.71,13.8,14.13,-0.33,-2.3355,214610.17,298327.032
28,300055.SZ,20211118,14.41,14.69,13.84,14.13,14.56,-0.43,-2.9533,258284.79,369067.233
29,300055.SZ,20211117,14.57,14.82,14.25,14.56,14.61,-0.05,-0.3422,217010.07,315584.115
30,300055.SZ,20211116,14.3,14.61,14.05,14.61,14.32,0.29,2.0251,266201.19,380670.81
31,300055.SZ,20211115,13.41,14.41,13.1,14.32,13.45,0.87,6.4684,381391.46,530409.632
32,300055.SZ,20211112,13.45,13.55,13.04,13.45,13.43,0.02,0.1489,229315.59,304275.0
33,300055.SZ,20211111,12.53,13.95,12.52,13.43,12.43,1.0,8.0451,455558.96,605851.68
34,300055.SZ,20211110,12.5,12.55,12.11,12.43,12.72,-0.29,-2.2799,202285.45,249461.419
35,300055.SZ,20211109,13.0,13.22,12.48,12.72,12.77,-0.05,-0.3915,360055.92,459972.422
36,300055.SZ,20211108,10.92,12.94,10.92,12.77,10.86,1.91,17.5875,412950.55,499045.879
37,300055.SZ,20211105,11.35,11.35,10.86,10.86,11.33,-0.47,-4.1483,193937.23,214768.231
38,300055.SZ,20211104,11.38,11.56,11.27,11.33,11.44,-0.11,-0.9615,82899.1,94177.467
39,300055.SZ,20211103,11.2,11.45,11.12,11.44,11.28,0.16,1.4184,116550.69,131640.873
40,300055.SZ,20211102,11.83,11.94,11.07,11.28,11.86,-0.58,-4.8904,223811.34,256043.925
41,300055.SZ,20211101,11.61,12.04,11.61,11.86,11.91,-0.05,-0.4198,126757.45,150515.748
42,300055.SZ,20211029,11.84,12.11,11.71,11.91,11.85,0.06,0.5063,112395.54,133752.802
43,300055.SZ,20211028,12.23,12.43,11.68,11.85,12.19,-0.34,-2.7892,172548.51,205549.753
44,300055.SZ,20211027,12.6,12.84,12.11,12.19,12.49,-0.3,-2.4019,146987.63,181761.966
45,300055.SZ,20211026,12.55,12.93,12.23,12.49,12.53,-0.04,-0.3192,223180.16,281099.302
46,300055.SZ,20211025,12.0,12.63,11.83,12.53,12.1,0.43,3.5537,191658.38,238770.052
47,300055.SZ,20211022,12.8,12.8,12.06,12.1,12.88,-0.78,-6.0559,273094.76,338800.137
48,300055.SZ,20211021,12.38,12.98,12.22,12.88,12.5,0.38,3.04,259562.63,328443.484
49,300055.SZ,20211020,12.2,12.81,11.95,12.5,12.13,0.37,3.0503,249956.04,311387.938
50,300055.SZ,20211019,12.05,12.36,11.92,12.13,12.2,-0.07,-0.5738,171575.67,208006.429
51,300055.SZ,20211018,11.68,12.24,11.67,12.2,11.66,0.54,4.6312,223603.01,269331.543
52,300055.SZ,20211015,11.91,11.96,11.58,11.66,11.9,-0.24,-2.0168,166584.3,195365.351
53,300055.SZ,20211014,11.94,12.02,11.58,11.9,11.93,-0.03,-0.2515,166433.9,196865.234
54,300055.SZ,20211013,12.14,12.21,11.75,11.93,12.14,-0.21,-1.7298,182336.83,217145.68
55,300055.SZ,20211012,12.52,12.89,12.01,12.14,12.67,-0.53,-4.1831,239793.42,296290.903
56,300055.SZ,20211011,12.97,13.05,12.44,12.67,12.93,-0.26,-2.0108,183073.01,232372.353
57,300055.SZ,20211008,13.45,13.78,12.8,12.93,13.25,-0.32,-2.4151,224583.23,296462.775
58,300055.SZ,20210930,12.61,13.47,12.6,13.25,12.58,0.67,5.3259,275353.56,363486.6
59,300055.SZ,20210929,13.2,13.29,12.51,12.58,13.22,-0.64,-4.8411,278600.5,357449.55
60,300055.SZ,20210928,13.55,13.62,13.1,13.22,13.28,-0.06,-0.4518,250813.38,333663.873
61,300055.SZ,20210927,14.32,14.85,13.12,13.28,14.8,-1.52,-10.2703,459148.34,630277.683
62,300055.SZ,20210924,15.48,15.59,14.67,14.8,15.56,-0.76,-4.8843,401882.79,606393.572
63,300055.SZ,20210923,16.53,16.7,15.29,15.56,16.48,-0.92,-5.5825,533809.08,835666.84
64,300055.SZ,20210922,18.52,18.54,16.03,16.48,18.0,-1.52,-8.4444,606246.08,1013692.434
65,300055.SZ,20210917,19.13,19.29,17.26,18.0,18.95,-0.95,-5.0132,482095.72,873785.624
66,300055.SZ,20210916,19.78,20.19,18.88,18.95,19.33,-0.38,-1.9659,380784.35,742404.888
67,300055.SZ,20210915,20.38,20.4,18.66,19.33,19.5,-0.17,-0.8718,478089.99,919268.716
68,300055.SZ,20210914,18.01,20.1,18.01,19.5,18.34,1.16,6.325,692035.84,1336022.446
69,300055.SZ,20210913,15.9,18.34,15.9,18.34,15.28,3.06,20.0262,732873.7,1288681.117
70,300055.SZ,20210910,14.8,15.71,14.8,15.28,14.99,0.29,1.9346,271465.68,415271.76
71,300055.SZ,20210909,14.8,15.06,14.4,14.99,14.8,0.19,1.2838,249256.81,370092.101
72,300055.SZ,20210908,14.95,15.25,14.66,14.8,15.07,-0.27,-1.7916,314145.64,469483.408
73,300055.SZ,20210907,14.0,15.32,14.0,15.07,14.65,0.42,2.8669,369231.2,550575.552
74,300055.SZ,20210906,14.11,14.68,13.8,14.65,14.0,0.65,4.6429,444244.33,635684.031
75,300055.SZ,20210903,12.74,14.37,12.73,14.0,12.7,1.3,10.2362,586283.78,812542.023
76,300055.SZ,20210902,11.7,12.74,11.55,12.7,11.97,0.73,6.0986,310872.41,382720.95
77,300055.SZ,20210901,12.75,12.76,11.82,11.97,12.74,-0.77,-6.044,323143.0,396056.292
78,300055.SZ,20210831,12.32,12.78,12.32,12.74,12.27,0.47,3.8305,319598.82,404439.457
79,300055.SZ,20210830,12.1,12.8,12.1,12.27,12.06,0.21,1.7413,274682.03,341465.503
80,300055.SZ,20210827,11.9,12.25,11.86,12.06,11.97,0.09,0.7519,159771.81,192484.092
81,300055.SZ,20210826,12.05,12.35,11.9,11.97,12.0,-0.03,-0.25,174063.53,210498.775
82,300055.SZ,20210825,12.2,12.47,11.92,12.0,12.17,-0.17,-1.3969,169342.91,205552.101
83,300055.SZ,20210824,12.28,12.67,11.92,12.17,12.28,-0.11,-0.8958,227988.18,278732.189
84,300055.SZ,20210823,11.49,12.41,11.44,12.28,11.44,0.84,7.3427,317630.33,386940.998
85,300055.SZ,20210820,11.53,11.74,11.17,11.44,12.0,-0.56,-4.6667,264470.77,303279.638
86,300055.SZ,20210819,12.0,12.12,11.44,12.0,11.85,0.15,1.2658,205982.71,243243.664
87,300055.SZ,20210818,11.88,12.2,11.61,11.85,12.0,-0.15,-1.25,228443.9,271103.613
88,300055.SZ,20210817,12.62,12.98,11.85,12.0,12.58,-0.58,-4.6105,241089.77,297576.186
89,300055.SZ,20210816,12.83,12.89,12.08,12.58,12.75,-0.17,-1.3333,257859.41,321843.818
90,300055.SZ,20210813,13.01,13.28,12.56,12.75,12.71,0.04,0.3147,280052.56,358182.022
