,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,001211.SZ,20211228,31.2,34.07,31.18,34.07,30.97,3.1,10.0097,22634.37,75075.504
1,001211.SZ,20211227,32.69,33.22,30.7,30.97,32.75,-1.78,-5.4351,33547.25,106425.848
2,001211.SZ,20211224,32.94,34.15,32.15,32.75,35.15,-2.4,-6.8279,43673.87,144592.782
3,001211.SZ,20211223,34.0,37.88,31.8,35.15,35.08,0.07,0.1995,85625.67,294467.781
4,001211.SZ,20211222,35.08,35.08,35.08,35.08,31.89,3.19,10.0031,12889.99,45218.084
5,001211.SZ,20211221,29.06,31.89,29.06,31.89,28.99,2.9,10.0034,15076.98,47304.021
6,001211.SZ,20211220,28.34,29.51,28.28,28.99,28.49,0.5,1.755,11426.47,33166.748
7,001211.SZ,20211217,29.11,29.11,28.38,28.49,28.92,-0.43,-1.4869,5384.19,15399.108
8,001211.SZ,20211216,28.67,28.98,28.51,28.92,28.61,0.31,1.0835,6796.18,19602.647
9,001211.SZ,20211215,28.26,28.68,28.18,28.61,28.4,0.21,0.7394,6323.65,18017.327
10,001211.SZ,20211214,28.16,28.56,28.04,28.4,28.17,0.23,0.8165,5012.65,14221.921
11,001211.SZ,20211213,28.3,28.37,28.0,28.17,28.16,0.01,0.0355,4599.0,12959.202
12,001211.SZ,20211210,28.01,28.3,27.8,28.16,28.08,0.08,0.2849,5236.0,14734.115
13,001211.SZ,20211209,27.63,28.31,27.53,28.08,27.68,0.4,1.4451,7128.0,20030.72
14,001211.SZ,20211208,27.56,27.8,27.34,27.68,27.55,0.13,0.4719,4425.05,12224.182
15,001211.SZ,20211207,27.5,27.8,27.42,27.55,27.44,0.11,0.4009,5234.0,14431.604
16,001211.SZ,20211206,28.41,28.48,27.41,27.44,28.4,-0.96,-3.3803,9519.0,26557.495
17,001211.SZ,20211203,29.18,29.49,28.4,28.4,29.17,-0.77,-2.6397,11149.92,32037.949
18,001211.SZ,20211202,29.79,29.92,29.16,29.17,29.75,-0.58,-1.9496,9653.19,28498.911
