,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,839946.BJ,20211214,5.89,6.18,5.83,6.14,5.85,0.29,4.9573,11498.65,7012.185
1,839946.BJ,20211213,5.72,5.86,5.63,5.85,5.71,0.14,2.4518,6863.71,3963.757
2,839946.BJ,20211210,5.8,5.8,5.69,5.71,5.76,-0.05,-0.8681,2920.23,1668.571
3,839946.BJ,20211209,5.86,5.86,5.71,5.76,5.81,-0.05,-0.8606,4345.95,2506.633
4,839946.BJ,20211208,5.63,5.86,5.63,5.81,5.69,0.12,2.109,4556.34,2622.479
5,839946.BJ,20211207,5.95,5.96,5.65,5.69,5.88,-0.19,-3.2313,6233.49,3577.417
6,839946.BJ,20211206,6.14,6.18,5.8,5.88,6.14,-0.26,-4.2345,10478.63,6212.977
7,839946.BJ,20211203,6.35,6.38,6.12,6.14,6.36,-0.22,-3.4591,7845.26,4879.01
8,839946.BJ,20211202,6.38,6.39,6.27,6.36,6.38,-0.02,-0.3135,4748.2,3009.076
9,839946.BJ,20211201,6.32,6.4,6.22,6.38,6.32,0.06,0.9494,3896.4,2476.439
10,839946.BJ,20211130,6.55,6.55,6.31,6.32,6.32,0.0,0.0,4029.99,2557.16
11,839946.BJ,20211129,6.12,6.47,6.12,6.32,6.47,-0.15,-2.3184,5833.83,3699.291
12,839946.BJ,20211126,6.59,6.71,6.4,6.47,6.71,-0.24,-3.5768,9136.11,5961.477
13,839946.BJ,20211125,6.95,7.06,6.66,6.71,6.99,-0.28,-4.0057,16265.06,11008.95
14,839946.BJ,20211124,7.15,7.2,6.9,6.99,7.15,-0.16,-2.2378,10820.25,7601.633
15,839946.BJ,20211123,7.13,7.27,7.02,7.15,7.01,0.14,1.9971,15186.73,10866.963
16,839946.BJ,20211122,7.04,7.09,6.96,7.0,6.94,0.06,0.8646,7927.05,5572.32
17,839946.BJ,20211119,6.99,7.13,6.74,6.94,6.94,0.0,0.0,11161.36,7681.949
18,839946.BJ,20211118,7.11,7.15,6.82,6.94,7.18,-0.24,-3.3426,25435.28,17812.449
19,839946.BJ,20211117,6.8,7.32,6.8,7.18,6.77,0.41,6.0561,33513.67,23717.303
20,839946.BJ,20211116,7.2,7.45,6.58,6.77,7.51,-0.74,-9.8535,40926.52,28015.693
21,839946.BJ,20211115,7.94,8.98,7.4,7.51,7.84,-0.33,-4.2092,77728.12,62668.267
