,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,601375.SH,20211228,4.81,4.87,4.79,4.87,4.81,0.06,1.2474,440851.84,212818.99
1,601375.SH,20211227,4.79,4.84,4.78,4.81,4.8,0.01,0.2083,297137.56,142871.0
2,601375.SH,20211224,4.84,4.88,4.8,4.8,4.83,-0.03,-0.6211,414143.37,200119.169
3,601375.SH,20211223,4.88,4.91,4.81,4.83,4.88,-0.05,-1.0246,500443.96,242545.933
4,601375.SH,20211222,4.9,4.93,4.87,4.88,4.92,-0.04,-0.813,608458.55,297896.532
5,601375.SH,20211221,4.8,4.94,4.77,4.92,4.78,0.14,2.9289,976624.77,475619.276
6,601375.SH,20211220,4.83,4.87,4.78,4.78,4.85,-0.07,-1.4433,530144.25,255935.149
7,601375.SH,20211217,4.85,4.92,4.82,4.85,4.85,0.0,0.0,691763.24,336654.781
8,601375.SH,20211216,4.83,4.85,4.8,4.85,4.81,0.04,0.8316,419045.04,202379.199
9,601375.SH,20211215,4.8,4.87,4.78,4.81,4.8,0.01,0.2083,422179.49,203615.486
10,601375.SH,20211214,4.81,4.86,4.78,4.8,4.83,-0.03,-0.6211,528385.9,254486.66
11,601375.SH,20211213,4.94,4.95,4.81,4.83,4.85,-0.02,-0.4124,860971.33,420379.611
12,601375.SH,20211210,4.86,4.89,4.82,4.85,4.89,-0.04,-0.818,740340.0,359004.757
13,601375.SH,20211209,4.82,4.98,4.81,4.89,4.83,0.06,1.2422,1185755.12,581168.59
14,601375.SH,20211208,4.78,4.83,4.73,4.83,4.77,0.06,1.2579,631614.04,302480.6
15,601375.SH,20211207,4.83,4.83,4.74,4.77,4.76,0.01,0.2101,617298.27,295154.658
16,601375.SH,20211206,4.76,4.89,4.73,4.76,4.74,0.02,0.4219,997559.28,480049.807
17,601375.SH,20211203,4.71,4.75,4.69,4.74,4.7,0.04,0.8511,450112.01,212643.617
18,601375.SH,20211202,4.68,4.73,4.68,4.7,4.69,0.01,0.2132,438232.54,206438.11
19,601375.SH,20211201,4.64,4.72,4.63,4.71,4.65,0.06,1.2903,384793.15,180374.483
20,601375.SH,20211130,4.64,4.68,4.62,4.65,4.63,0.02,0.432,319032.09,148476.541
21,601375.SH,20211129,4.63,4.66,4.61,4.63,4.67,-0.04,-0.8565,381789.28,176969.404
22,601375.SH,20211126,4.68,4.7,4.65,4.67,4.68,-0.01,-0.2137,332064.89,155325.958
23,601375.SH,20211125,4.72,4.72,4.67,4.68,4.71,-0.03,-0.6369,349136.0,163821.389
24,601375.SH,20211124,4.71,4.73,4.69,4.71,4.73,-0.02,-0.4228,348841.99,164341.208
25,601375.SH,20211123,4.68,4.76,4.68,4.73,4.7,0.03,0.6383,653991.87,309336.043
26,601375.SH,20211122,4.69,4.73,4.67,4.7,4.71,-0.01,-0.2123,498097.07,234042.795
27,601375.SH,20211119,4.61,4.72,4.6,4.71,4.62,0.09,1.9481,583826.87,272549.927
28,601375.SH,20211118,4.64,4.66,4.61,4.62,4.64,-0.02,-0.431,327609.96,151705.355
29,601375.SH,20211117,4.65,4.67,4.62,4.64,4.65,-0.01,-0.2151,315396.36,146483.969
30,601375.SH,20211116,4.69,4.72,4.64,4.65,4.7,-0.05,-1.0638,369425.15,172921.079
31,601375.SH,20211115,4.76,4.77,4.68,4.7,4.73,-0.03,-0.6342,420817.28,198148.433
32,601375.SH,20211112,4.73,4.76,4.71,4.73,4.75,-0.02,-0.4211,380464.0,179926.389
33,601375.SH,20211111,4.68,4.77,4.67,4.75,4.68,0.07,1.4957,630233.98,298735.331
34,601375.SH,20211110,4.65,4.69,4.63,4.68,4.67,0.01,0.2141,366347.3,170924.467
35,601375.SH,20211109,4.64,4.68,4.62,4.67,4.64,0.03,0.6466,333533.29,155151.486
36,601375.SH,20211108,4.59,4.66,4.58,4.64,4.59,0.05,1.0893,326183.05,150736.086
37,601375.SH,20211105,4.62,4.64,4.59,4.59,4.64,-0.05,-1.0776,331818.87,153074.694
38,601375.SH,20211104,4.65,4.67,4.62,4.64,4.63,0.01,0.216,298255.24,138425.837
39,601375.SH,20211103,4.62,4.65,4.6,4.63,4.62,0.01,0.2165,280467.24,129695.47
40,601375.SH,20211102,4.7,4.74,4.57,4.62,4.72,-0.1,-2.1186,547494.08,254436.202
41,601375.SH,20211101,4.69,4.77,4.65,4.72,4.59,0.13,2.8322,686938.83,324475.372
42,601375.SH,20211029,4.55,4.6,4.51,4.59,4.53,0.06,1.3245,372950.81,170294.958
43,601375.SH,20211028,4.6,4.64,4.52,4.53,4.62,-0.09,-1.9481,374732.58,171853.592
44,601375.SH,20211027,4.73,4.73,4.6,4.62,4.73,-0.11,-2.3256,381012.12,176749.241
45,601375.SH,20211026,4.71,4.77,4.7,4.73,4.76,-0.03,-0.6303,330744.38,156420.143
46,601375.SH,20211025,4.71,4.76,4.58,4.76,4.72,0.04,0.8475,696577.43,325578.133
47,601375.SH,20211022,4.75,4.77,4.7,4.72,4.74,-0.02,-0.4219,331763.39,157061.56
48,601375.SH,20211021,4.73,4.79,4.71,4.74,4.72,0.02,0.4237,444077.8,210961.64
49,601375.SH,20211020,4.74,4.75,4.71,4.72,4.74,-0.02,-0.4219,249372.06,117976.832
50,601375.SH,20211019,4.72,4.76,4.68,4.74,4.71,0.03,0.6369,344491.41,163333.099
51,601375.SH,20211018,4.69,4.71,4.65,4.71,4.68,0.03,0.641,273828.22,128376.541
52,601375.SH,20211015,4.72,4.75,4.67,4.68,4.76,-0.08,-1.6807,404096.35,190605.432
53,601375.SH,20211014,4.77,4.78,4.71,4.76,4.78,-0.02,-0.4184,358114.0,169946.545
54,601375.SH,20211013,4.76,4.81,4.72,4.78,4.76,0.02,0.4202,332845.35,158675.385
55,601375.SH,20211012,4.84,4.84,4.71,4.76,4.86,-0.1,-2.0576,551060.41,262662.318
56,601375.SH,20211011,4.88,4.91,4.84,4.86,4.86,0.0,0.0,439084.49,213736.227
57,601375.SH,20211008,4.86,4.87,4.8,4.86,4.81,0.05,1.0395,522805.08,253362.531
58,601375.SH,20210930,4.82,4.85,4.77,4.81,4.82,-0.01,-0.2075,445342.4,214163.21
59,601375.SH,20210929,4.85,4.86,4.75,4.82,4.9,-0.08,-1.6327,746653.4,358840.34
60,601375.SH,20210928,4.88,4.94,4.85,4.9,4.85,0.05,1.0309,593423.38,290411.648
61,601375.SH,20210927,5.04,5.06,4.82,4.85,5.03,-0.18,-3.5785,1106183.0,543789.157
62,601375.SH,20210924,5.17,5.19,5.01,5.03,5.16,-0.13,-2.5194,983599.11,500974.106
63,601375.SH,20210923,5.09,5.23,5.08,5.16,5.12,0.04,0.7813,1034529.74,534593.505
64,601375.SH,20210922,5.03,5.16,5.02,5.12,5.09,0.03,0.5894,983625.92,501675.822
65,601375.SH,20210917,5.16,5.2,5.05,5.09,5.17,-0.08,-1.5474,1443127.1,737715.871
66,601375.SH,20210916,5.35,5.41,5.14,5.17,5.42,-0.25,-4.6125,2795272.65,1472619.951
67,601375.SH,20210915,5.1,5.63,5.08,5.42,5.12,0.3,5.8594,4455477.9,2437050.004
68,601375.SH,20210914,5.23,5.39,5.09,5.12,5.24,-0.12,-2.2901,1775664.67,931602.951
69,601375.SH,20210913,5.2,5.32,5.18,5.24,5.19,0.05,0.9634,1224668.19,643592.018
70,601375.SH,20210910,5.23,5.33,5.16,5.19,5.22,-0.03,-0.5747,1697086.26,890324.295
71,601375.SH,20210909,5.23,5.26,5.16,5.22,5.28,-0.06,-1.1364,1350489.9,702924.081
72,601375.SH,20210908,5.2,5.38,5.17,5.28,5.22,0.06,1.1494,1784086.63,942467.86
73,601375.SH,20210907,5.17,5.27,5.12,5.22,5.22,0.0,0.0,1679034.11,869489.826
74,601375.SH,20210906,5.03,5.27,5.02,5.22,5.06,0.16,3.1621,2149663.24,1111784.91
75,601375.SH,20210903,5.29,5.34,5.05,5.06,5.1,-0.04,-0.7843,2123413.74,1089870.659
76,601375.SH,20210902,4.96,5.18,4.94,5.1,4.99,0.11,2.2044,2096879.09,1065238.48
77,601375.SH,20210901,4.85,5.11,4.84,4.99,4.88,0.11,2.2541,2232038.16,1111796.519
78,601375.SH,20210831,4.78,4.9,4.75,4.88,4.78,0.1,2.0921,1147982.86,553939.948
79,601375.SH,20210830,4.95,4.96,4.75,4.78,4.87,-0.09,-1.848,1291635.39,624101.36
80,601375.SH,20210827,4.86,4.92,4.83,4.87,4.85,0.02,0.4124,834565.45,405891.365
81,601375.SH,20210826,4.84,4.92,4.82,4.85,4.85,0.0,0.0,854064.29,415608.746
82,601375.SH,20210825,4.88,4.91,4.81,4.85,4.91,-0.06,-1.222,844678.04,409563.276
83,601375.SH,20210824,4.87,4.97,4.83,4.91,4.91,0.0,0.0,1320983.4,646725.735
84,601375.SH,20210823,4.96,5.03,4.88,4.91,4.96,-0.05,-1.0081,1514976.58,748772.101
85,601375.SH,20210820,4.91,5.0,4.84,4.96,4.95,0.01,0.202,1880744.36,927575.441
86,601375.SH,20210819,4.82,5.15,4.8,4.95,4.89,0.06,1.227,2641762.64,1301090.666
87,601375.SH,20210818,4.6,4.92,4.58,4.89,4.62,0.27,5.8442,2444996.06,1170229.134
88,601375.SH,20210817,4.62,4.79,4.6,4.62,4.64,-0.02,-0.431,1402639.5,658202.355
89,601375.SH,20210816,4.58,4.67,4.56,4.64,4.57,0.07,1.5317,814625.24,376993.599
90,601375.SH,20210813,4.62,4.63,4.54,4.57,4.6,-0.03,-0.6522,552146.59,252663.064
91,601375.SH,20210812,4.64,4.66,4.58,4.6,4.65,-0.05,-1.0753,558137.39,257545.584
92,601375.SH,20210811,4.67,4.72,4.63,4.65,4.69,-0.04,-0.8529,730733.14,340881.213
93,601375.SH,20210810,4.61,4.69,4.59,4.69,4.63,0.06,1.2959,796363.74,370106.924
94,601375.SH,20210809,4.52,4.68,4.51,4.63,4.54,0.09,1.9824,781363.75,361706.145
95,601375.SH,20210806,4.59,4.62,4.51,4.54,4.57,-0.03,-0.6565,609050.65,277558.011
96,601375.SH,20210805,4.65,4.71,4.54,4.57,4.69,-0.12,-2.5586,755200.17,348441.315
97,601375.SH,20210804,4.69,4.74,4.64,4.69,4.7,-0.01,-0.2128,854781.36,400068.593
98,601375.SH,20210803,4.47,4.88,4.47,4.7,4.52,0.18,3.9823,1893699.2,887697.521
99,601375.SH,20210802,4.4,4.61,4.34,4.52,4.44,0.08,1.8018,1063502.39,475460.585
100,601375.SH,20210730,4.61,4.62,4.37,4.46,4.8,-0.34,-7.0833,1801054.07,807111.268
101,601375.SH,20210729,4.68,4.9,4.65,4.8,4.63,0.17,3.6717,1358454.7,651086.797
102,601375.SH,20210728,4.72,4.8,4.58,4.63,4.76,-0.13,-2.7311,1144475.78,535208.645
103,601375.SH,20210727,4.79,4.99,4.73,4.76,4.8,-0.04,-0.8333,1464080.99,709157.995
