,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,300350.SZ,20211216,8.56,8.56,8.41,8.47,8.53,-0.06,-0.7034,112526.92,95105.055
1,300350.SZ,20211215,8.78,8.85,8.48,8.53,8.79,-0.26,-2.9579,194635.0,167449.627
2,300350.SZ,20211214,8.7,8.91,8.62,8.79,8.75,0.04,0.4571,242803.6,213476.696
3,300350.SZ,20211213,8.88,8.96,8.6,8.75,8.72,0.03,0.344,222496.16,195036.735
4,300350.SZ,20211210,8.36,8.72,8.29,8.72,8.37,0.35,4.1816,195205.37,168206.496
5,300350.SZ,20211209,8.47,8.48,8.36,8.37,8.4,-0.03,-0.3571,73238.22,61556.634
6,300350.SZ,20211208,8.35,8.47,8.27,8.4,8.3,0.1,1.2048,79862.35,66773.997
7,300350.SZ,20211207,8.47,8.48,8.22,8.3,8.38,-0.08,-0.9547,105435.75,87501.764
8,300350.SZ,20211206,8.52,8.57,8.33,8.38,8.51,-0.13,-1.5276,114588.26,96428.631
9,300350.SZ,20211203,8.56,8.78,8.5,8.51,8.6,-0.09,-1.0465,152748.0,131335.236
10,300350.SZ,20211202,8.85,9.06,8.53,8.6,8.81,-0.21,-2.3837,273687.35,239928.617
11,300350.SZ,20211201,8.85,9.07,8.69,8.81,8.64,0.17,1.9676,326740.42,290704.764
12,300350.SZ,20211130,8.41,8.93,8.41,8.64,8.38,0.26,3.1026,192288.15,167298.13
13,300350.SZ,20211129,8.27,8.45,8.18,8.38,8.49,-0.11,-1.2956,101426.0,84551.325
14,300350.SZ,20211126,8.71,8.79,8.37,8.49,8.81,-0.32,-3.6322,166192.64,141738.071
15,300350.SZ,20211125,8.68,8.9,8.54,8.81,8.7,0.11,1.2644,171522.02,150196.112
16,300350.SZ,20211124,8.51,8.8,8.51,8.7,8.55,0.15,1.7544,147358.87,128124.007
17,300350.SZ,20211123,8.69,8.83,8.46,8.55,8.8,-0.25,-2.8409,158554.52,135677.282
18,300350.SZ,20211122,8.67,8.93,8.59,8.8,8.83,-0.03,-0.3398,172096.8,151226.819
19,300350.SZ,20211119,8.35,9.09,8.32,8.83,8.39,0.44,5.2443,278738.06,244938.808
20,300350.SZ,20211118,8.54,8.54,8.29,8.39,8.39,0.0,0.0,110399.42,92531.307
21,300350.SZ,20211117,8.2,8.45,8.13,8.39,8.19,0.2,2.442,112072.2,93164.369
22,300350.SZ,20211116,8.37,8.53,8.15,8.19,8.43,-0.24,-2.847,137284.4,113875.585
23,300350.SZ,20211115,8.12,8.5,8.12,8.43,8.18,0.25,3.0562,161665.52,135087.862
24,300350.SZ,20211112,8.16,8.22,8.03,8.18,8.13,0.05,0.615,138235.96,112225.241
25,300350.SZ,20211111,8.26,8.35,8.11,8.13,8.29,-0.16,-1.93,168433.44,137974.855
26,300350.SZ,20211110,8.59,8.78,8.18,8.29,8.58,-0.29,-3.38,170089.4,141750.411
27,300350.SZ,20211109,8.47,8.62,8.37,8.58,8.39,0.19,2.2646,96372.8,82043.905
28,300350.SZ,20211108,8.44,8.48,8.13,8.39,8.51,-0.12,-1.4101,91831.72,76733.768
29,300350.SZ,20211105,8.53,8.59,8.4,8.51,8.5,0.01,0.1176,102690.64,87341.491
30,300350.SZ,20211104,8.58,8.6,8.37,8.5,8.48,0.02,0.2358,91688.0,77569.035
31,300350.SZ,20211103,8.55,8.68,8.38,8.48,8.59,-0.11,-1.2806,107164.44,91321.797
32,300350.SZ,20211102,9.03,9.06,8.53,8.59,9.02,-0.43,-4.7672,144145.16,126123.426
33,300350.SZ,20211101,8.64,9.07,8.56,9.02,8.67,0.35,4.0369,125145.04,111147.038
34,300350.SZ,20211029,8.22,8.81,8.21,8.67,8.34,0.33,3.9568,125134.68,107850.689
35,300350.SZ,20211028,8.0,8.54,7.97,8.34,8.96,-0.62,-6.9196,189754.88,157861.463
36,300350.SZ,20211027,9.29,9.35,8.82,8.96,9.35,-0.39,-4.1711,124875.5,112653.312
37,300350.SZ,20211026,9.61,9.65,9.31,9.35,9.64,-0.29,-3.0083,149954.06,141138.195
38,300350.SZ,20211025,9.69,9.77,9.5,9.64,9.79,-0.15,-1.5322,114978.02,110469.061
39,300350.SZ,20211022,9.56,9.96,9.4,9.79,9.62,0.17,1.7672,196741.0,189760.467
