,0
0,1.1615455781721153
1,1.1104458414080316
2,0.989405682886059
3,1.0450370749031668
4,1.1124588216711129
5,1.0417374233206789
6,1.1030522343418387
7,1.0507747403512204
8,1.0166428462330834
9,1.1459113405885484
10,1.2058807007460157
11,1.2606375214548105
12,1.3556339247307179
13,1.372417648116795
14,1.5587983949849678
15,1.5560327311851645
16,1.5307371682878288
17,1.7099213159524975
18,1.874143550478383
19,1.7692654175626779
20,1.8893992486071447
21,1.7514585851325286
22,1.9761990627801942
23,2.0969624835158864
24,2.1446146117470644
25,2.131254562387155
26,2.307261079698371
27,2.344491999957238
28,2.514322692533646
29,2.4612214932439995
30,2.350218109698833
31,2.393143295372825
32,2.2217085604822593
33,1.9363944085045375
34,1.9436315823676005
35,1.746192073878646
36,1.7425161268917169
37,1.7087878649756172
38,1.5717746171031395
39,1.7791034212789665
40,1.7683297730983893
41,1.8164839108693855
42,1.8180016258638378
43,1.7389146344332498
44,1.654193367143673
45,1.5865573342946628
46,1.6112940744031143
47,1.843713934013187
48,1.984854613390789
49,1.8964512620569802
50,1.968152225394649
51,2.182481983447076
52,2.095740226846608
53,2.1950600897710775
54,2.309107777043966
55,2.340592323546047
56,2.2407576175763655
57,2.3235309877643684
58,2.1643386314598123
59,2.1059557011314163
60,2.0671617803211007
61,2.50438880436024
62,2.421150366027735
63,2.215855143284764
64,2.4304652803514335
65,2.7936488407995954
66,2.622624251046719
67,2.8460468667995054
68,3.1971713525359347
69,3.0790867870927885
70,3.122626342256343
71,3.2473104367917243
72,3.304015508446993
73,3.507869510180653
74,3.6464120415577206
75,3.6053662365282726
76,3.5393856779512842
77,3.5402159106275373
78,3.46997353144842
79,3.675605202614497
80,3.554724879770604
81,3.5463330154052857
82,2.994265342822405
83,2.7866568458670486
84,2.7841192596756614
85,2.732736435172965
86,2.4916126320694683
87,2.370574965213779
88,2.274153394746873
89,2.431673459773417
90,2.4789519755227736
91,2.4279597934327484
92,2.4949328456735906
93,2.73623314338831
94,2.802149342856556
95,2.740668479650322
96,2.7749577260281826
97,2.7629591031624816
98,2.4276736316087533
99,2.448338427439486
100,2.615498702452263
101,2.474514571650933
102,2.6925752427159577
103,2.611508461214832
104,2.8451099722874083
105,3.038103626396066
106,3.1301673726504924
107,3.110841633491769
108,3.274600321453062
109,3.302059567116819
110,2.9907309795562735
111,3.0608152013001866
112,2.935227659207265
113,2.6604403889836057
114,2.7657925333318474
115,2.8796488987216433
116,2.8786871767739193
117,3.123026295544279
118,3.3646840040083212
119,3.188447589461572
120,3.4245321095239776
121,3.583672109178754
122,3.6781745260392587
123,4.007088938441285
124,4.242355447824108
125,4.113355400158776
126,4.57531915315473
127,4.932542343980397
128,4.985464848572322
129,4.835226228301188
130,5.274215332040447
131,5.093621247929823
132,5.018973502291428
133,5.138202449354142
134,5.0591842790972645
135,4.571137969564784
136,4.815768045970844
137,4.6809399457227165
138,5.097266633142748
139,5.042151036302687
140,4.630375368337967
141,5.499982449708757
142,5.734690491690649
143,6.289419515222356
144,7.026651147726777
145,6.837096861211121
146,5.918690749721776
147,6.555021669248633
148,6.842329095728446
149,6.790651746288647
150,7.206389846930626
151,7.77306598960319
152,7.73196593916993
153,6.846125428458806
154,8.258138798078434
