,ts_code,symbol,name,area,industry
120,000530.SZ,000530,冰山冷热,辽宁,机械基件
121,000531.SZ,000531,穗恒运A,广东,火力发电
122,000532.SZ,000532,华金资本,广东,多元金融
123,000533.SZ,000533,顺钠股份,广东,电气设备
124,000534.SZ,000534,万泽股份,广东,生物制药
125,000536.SZ,000536,华映科技,福建,元器件
126,000537.SZ,000537,广宇发展,天津,区域地产
127,000538.SZ,000538,云南白药,云南,中成药
128,000539.SZ,000539,粤电力A,广东,火力发电
129,000540.SZ,000540,中天金融,贵州,多元金融
130,000541.SZ,000541,佛山照明,广东,家用电器
131,000543.SZ,000543,皖能电力,安徽,火力发电
132,000544.SZ,000544,中原环保,河南,环境保护
133,000545.SZ,000545,金浦钛业,吉林,化工原料
134,000546.SZ,000546,金圆股份,吉林,环境保护
135,000547.SZ,000547,航天发展,福建,通信设备
136,000548.SZ,000548,湖南投资,湖南,路桥
137,000550.SZ,000550,江铃汽车,江西,汽车整车
138,000551.SZ,000551,创元科技,江苏,专用机械
139,000552.SZ,000552,靖远煤电,甘肃,煤炭开采
140,000553.SZ,000553,安道麦A,湖北,农药化肥
141,000554.SZ,000554,泰山石油,山东,石油贸易
142,000555.SZ,000555,神州信息,深圳,软件服务
143,000557.SZ,000557,西部创业,宁夏,铁路
144,000558.SZ,000558,莱茵体育,浙江,文教休闲
145,000559.SZ,000559,万向钱潮,浙江,汽车配件
146,000560.SZ,000560,我爱我家,云南,房产服务
147,000561.SZ,000561,烽火电子,陕西,通信设备
148,000563.SZ,000563,陕国投A,陕西,多元金融
149,000564.SZ,000564,*ST大集,陕西,百货
150,000565.SZ,000565,渝三峡A,重庆,染料涂料
151,000566.SZ,000566,海南海药,海南,化学制药
152,000567.SZ,000567,海德股份,海南,多元金融
153,000568.SZ,000568,泸州老窖,四川,白酒
154,000570.SZ,000570,苏常柴A,江苏,机械基件
155,000571.SZ,000571,ST大洲,海南,煤炭开采
156,000572.SZ,000572,海马汽车,海南,汽车整车
157,000573.SZ,000573,粤宏远A,广东,区域地产
158,000576.SZ,000576,甘化科工,广东,食品
159,000581.SZ,000581,威孚高科,江苏,汽车配件
160,000582.SZ,000582,北部湾港,广西,港口
161,000584.SZ,000584,哈工智能,江苏,专用机械
162,000585.SZ,000585,*ST东电,海南,电气设备
163,000586.SZ,000586,汇源通信,四川,通信设备
164,000587.SZ,000587,*ST金洲,黑龙江,批发业
